,school_name,school_type,addr
283,추계초등학교,사립,서울특별시 서대문구 북아현로11가길 7 (북아현동.추계초등학교)
284,서울공덕초등학교,공립,서울특별시 마포구 만리재옛길 13 . 서울공덕초등학교 (공덕동. 공덕초등학교)
285,서울동교초등학교,공립,서울특별시 마포구 월드컵로25길 86 . 동교초등학교 (망원동)
286,서울마포초등학교,공립,서울특별시 마포구 도화2길 64 . 서울 마포초등학교 (도화동)
287,서울망원초등학교,공립,서울 마포구 방울내로5길 28 (망원동.망원초등학교)
288,서울상암초등학교,공립,서울특별시 마포구 월드컵북로 353 (상암동.상암초등학교)
289,서울상지초등학교,공립,서울특별시 마포구 월드컵로42길 30 . 서울상지초등학교 (상암동)
290,서울서강초등학교,공립,서울특별시 마포구 독막로 113 (상수동.서강초등학교)
291,서울서교초등학교,공립,서울특별시 마포구 와우산로23길 20-27 (서교동)
292,서울성산초등학교,공립,서울특별시 마포구 양화로3길 94 . 서울성산초등학교 (합정동)
293,서울성서초등학교,공립,서울특별시 마포구 성미산로7길 24 (성산동)
